-16.000000000000000	-16.257844712513155
-15.000000000000000	-16.256622444639007
-14.000000000000000	-16.255769993421648
-13.000000000000000	-16.258173540577992
-12.000000000000000	-16.261009913006045
-11.000000000000000	-16.257389254752827
-10.000000000000000	-16.257585016015426
-9.000000000000000	-16.256246451135453
-8.000000000000000	-16.257585744110447
-7.000000000000000	-15.742173255683232
-6.000000000000000	-12.877881075207197
-5.000000000000000	-9.893455824535991
-4.000000000000000	-7.049288136958707
-3.000000000000000	-4.911214678871617
-2.000000000000000	-2.909344873786529
